FIPS County Code,Deaths involving COVID-19
2020,38
2090,14
1001,27
1003,80
1005,12
1007,17
1009,12
1013,27
1015,99
1017,10
1019,10
1021,18
1027,27
1031,10
1033,40
1039,55
1041,26
1043,33
1045,53
1047,45
1049,21
1051,35
1053,20
1055,139
1059,13
1069,249
1071,18
1073,643
1077,76
1081,150
1083,36
1089,157
1091,16
1093,25
1095,52
1097,435
1101,353
1103,55
1109,16
1113,11
1115,42
1117,84
1121,32
1123,69
1125,233
1127,70
1129,10
1133,10
5005,22
5007,132
5009,23
5017,11
5027,17
5031,146
5035,21
5045,46
5051,90
5061,10
5063,49
5069,99
5081,25
5093,21
5101,13
5115,22
5119,324
5121,13
5125,24
5131,113
5137,13
5139,49
5143,166
5145,33
4001,42
4003,30
4005,131
4007,32
4009,22
4013,3498
4015,191
4017,61
4019,739
4021,84
4025,78
4027,311
6001,442
6005,28
6007,51
6009,11
6013,215
6019,431
6025,192
6027,14
6029,419
6031,119
6033,12
6037,6189
6039,91
6041,100
6045,17
6047,83
6053,80
6055,20
6059,1352
6061,104
6065,1340
6067,455
6071,1200
6073,1050
6075,147
6077,451
6079,30
6081,172
6083,129
6085,356
6087,28
6089,29
6095,98
6097,140
6099,499
6107,281
6111,176
6113,44
6115,19
8001,310
8005,420
8013,94
8014,27
8015,17
8031,332
8035,71
8041,193
8059,261
8069,69
8077,20
8085,14
8087,40
8101,37
8123,126
9001,1454
9003,1443
9005,134
9007,179
9009,1104
9011,117
9013,47
9015,14
11001,783
10001,110
10003,292
10005,194
12001,228
12005,141
12009,361
12011,1707
12015,153
12017,91
12019,118
12021,270
12023,82
12031,644
12033,343
12035,43
12051,16
12053,137
12055,110
12057,853
12061,89
12063,53
12069,231
12071,474
12073,248
12081,341
12083,287
12085,231
12086,3318
12087,16
12089,17
12091,128
12093,29
12095,664
12097,208
12099,1559
12101,187
12103,785
12105,543
12107,28
12109,38
12111,204
12113,43
12115,326
12117,173
12119,78
12121,20
12125,16
12127,326
12131,33
12133,20
13001,16
13005,20
13009,60
13013,19
13015,61
13017,26
13019,10
13021,278
13023,13
13031,53
13035,20
13043,17
13045,79
13051,256
13057,56
13059,129
13063,64
13067,434
13069,52
13071,45
13073,14
13077,52
13081,34
13087,17
13089,295
13091,20
13095,214
13097,38
13099,14
13103,10
13107,36
13113,101
13115,120
13117,74
13119,13
13121,689
13127,114
13129,34
13131,17
13135,349
13137,32
13139,240
13151,106
13153,78
13161,15
13163,15
13165,14
13171,14
13175,89
13185,151
13205,15
13207,23
13215,266
13217,53
13219,17
13223,37
13227,14
13235,24
13237,12
13245,354
13247,46
13255,97
13257,24
13261,48
13267,11
13275,106
13277,118
13279,61
13285,98
13291,21
13293,86
13295,16
13297,50
13299,82
13303,14
13305,28
13313,58
15001,38
15003,186
15009,17
19013,106
19033,32
19045,29
19049,40
19055,10
19057,16
19061,56
19063,16
19069,10
19077,11
19085,13
19099,23
19103,98
19113,142
19123,20
19127,25
19139,44
19149,15
19153,375
19155,40
19157,11
19163,39
19167,11
19169,30
19171,28
19179,42
19183,11
19187,28
19189,13
19193,147
16001,229
16005,19
16019,37
16027,82
16055,54
16069,24
16079,16
16083,62
17001,25
17007,11
17011,10
17017,10
17019,49
17021,11
17029,33
17031,5175
17037,36
17043,541
17051,11
17061,14
17077,55
17081,36
17083,16
17089,297
17091,74
17095,13
17097,411
17099,47
17109,16
17111,83
17113,40
17115,53
17119,106
17135,10
17137,18
17143,111
17159,16
17161,73
17163,186
17167,94
17179,22
17195,15
17197,344
17199,49
17201,183
18003,277
18005,83
18011,49
18017,27
18019,56
18023,13
18027,16
18029,38
18031,26
18033,14
18035,83
18037,18
18039,138
18041,10
18043,89
18053,34
18055,30
18057,110
18059,32
18061,16
18063,157
18065,12
18067,69
18071,14
18081,94
18083,27
18085,11
18089,478
18091,61
18093,30
18095,103
18097,978
18099,28
18105,65
18107,19
18109,35
18111,10
18113,24
18117,16
18123,13
18127,49
18133,11
18141,165
18145,27
18157,51
18159,26
18163,126
18167,69
18173,58
18177,36
20037,10
20045,17
20051,35
20055,27
20057,20
20063,10
20091,197
20111,27
20155,13
20169,15
20173,193
20175,13
20177,80
20209,166
21009,19
21013,10
21015,10
21019,32
21021,28
21037,80
21045,10
21047,18
21059,44
21067,117
21073,16
21083,36
21093,15
21101,12
21107,38
21111,521
21117,52
21125,12
21145,29
21167,14
21193,12
21195,28
21199,17
21209,12
21211,14
21227,112
21235,11
22001,56
22003,18
22005,33
22009,17
22011,28
22015,78
22017,562
22019,198
22027,15
22031,12
22033,776
22037,16
22039,23
22041,10
22043,10
22045,60
22051,813
22053,40
22055,264
22057,131
22061,57
22063,17
22069,19
22071,432
22073,243
22077,18
22079,236
22087,17
22089,32
22093,17
22095,35
22097,113
22099,20
22101,59
22103,277
22105,104
22109,111
22111,22
22113,25
22115,25
22117,32
22119,20
22127,19
25001,136
25003,41
25005,562
25009,1028
25011,37
25013,689
25015,115
25017,1892
25021,770
25023,624
25025,1291
25027,1001
24001,24
24003,337
24005,696
24009,16
24013,156
24015,41
24017,89
24021,140
24025,67
24027,100
24029,30
24031,1143
24033,619
24037,74
24041,27
24043,47
24045,71
24047,41
24510,695
23001,12
23005,89
23011,11
23027,16
23031,19
26007,15
26017,46
26021,78
26025,44
26039,12
