submission_date,state,new_case,pnew_case,new_death,prob_death
01/22/2020,CO,0,0,0,0
01/23/2020,CO,0,0,0,0
01/24/2020,CO,0,0,0,0
01/25/2020,CO,0,0,0,0
01/26/2020,CO,0,0,0,0
01/27/2020,CO,0,0,0,0
01/28/2020,CO,0,0,0,0
01/29/2020,CO,0,0,0,0
01/30/2020,CO,0,0,0,0
01/31/2020,CO,0,0,0,0
02/01/2020,CO,0,0,0,0
02/02/2020,CO,0,0,0,0
02/03/2020,CO,0,0,0,0
02/04/2020,CO,0,0,0,0
02/05/2020,CO,0,0,0,0
02/06/2020,CO,0,0,0,0
02/07/2020,CO,0,0,0,0
02/08/2020,CO,0,0,0,0
02/09/2020,CO,0,0,0,0
02/10/2020,CO,0,0,0,0
02/11/2020,CO,0,0,0,0
02/12/2020,CO,0,0,0,0
02/13/2020,CO,0,0,0,0
02/14/2020,CO,0,0,0,0
02/15/2020,CO,0,0,0,0
02/16/2020,CO,0,0,0,0
02/17/2020,CO,0,0,0,0
02/18/2020,CO,0,0,0,0
02/19/2020,CO,0,0,0,0
02/20/2020,CO,0,0,0,0
02/21/2020,CO,0,0,0,0
02/22/2020,CO,0,0,0,0
02/23/2020,CO,0,0,0,0
02/24/2020,CO,0,0,0,0
02/25/2020,CO,0,0,0,0
02/26/2020,CO,0,0,0,0
02/27/2020,CO,0,0,0,0
02/28/2020,CO,0,0,0,0
02/29/2020,CO,0,0,0,0
03/01/2020,CO,0,0,0,0
03/02/2020,CO,0,0,0,0
03/03/2020,CO,0,0,0,0
03/04/2020,CO,0,0,0,0
03/05/2020,CO,1,0,0,0
03/06/2020,CO,1,0,0,0
03/07/2020,CO,6,0,0,0
03/08/2020,CO,0,0,0,0
03/09/2020,CO,4,0,0,0
03/10/2020,CO,5,0,0,0
03/11/2020,CO,17,0,0,0
03/12/2020,CO,15,0,0,0
03/13/2020,CO,0,0,0,0
03/14/2020,CO,0,0,0,0
03/15/2020,CO,95,0,1,0
03/16/2020,CO,16,0,0,0
03/17/2020,CO,23,0,1,0
03/18/2020,CO,33,0,0,0
03/19/2020,CO,61,0,0,0
03/20/2020,CO,86,0,2,0
03/21/2020,CO,112,0,1,0
03/22/2020,CO,116,0,1,0
03/23/2020,CO,129,0,1,0
03/24/2020,CO,201,0,4,0
