State,Sex,Age group,COVID-19 Deaths,Pneumonia and COVID-19 Deaths
United States,All Sexes,All Ages,212328,96557
United States,All Sexes,Under 1 year,26,4
United States,All Sexes,0-17 years,111,18
United States,All Sexes,1-4 years,15,2
United States,All Sexes,5-14 years,39,7
United States,All Sexes,15-24 years,388,138
United States,All Sexes,18-29 years,944,392
United States,All Sexes,25-34 years,1649,733
United States,All Sexes,30-49 years,9714,4377
United States,All Sexes,35-44 years,4262,1891
United States,All Sexes,45-54 years,11252,5309
United States,All Sexes,50-64 years,33896,16578
United States,All Sexes,55-64 years,27034,13281
United States,All Sexes,65-74 years,45951,22489
United States,All Sexes,75-84 years,56409,26484
United States,All Sexes,85 years and over,65303,26219
United States,Male,All Ages,114917,54658
United States,Male,Under 1 year,18,3
United States,Male,0-17 years,66,11
United States,Male,1-4 years,7,1
United States,Male,5-14 years,25,6
United States,Male,15-24 years,237,84
United States,Male,18-29 years,603,234
United States,Male,25-34 years,1076,465
United States,Male,30-49 years,6607,2987
United States,Male,35-44 years,2879,1280
United States,Male,45-54 years,7662,3634
United States,Male,50-64 years,22118,10779
United States,Male,55-64 years,17490,8538
United States,Male,65-74 years,28152,13897
United States,Male,75-84 years,31119,15032
United States,Male,85 years and over,26252,11718
United States,Female,All Ages,97405,41895
United States,Female,Under 1 year,8,1
United States,Female,0-17 years,45,7
United States,Female,1-4 years,8,1
United States,Female,5-14 years,14,1
United States,Female,15-24 years,151,54
United States,Female,18-29 years,341,158
United States,Female,25-34 years,573,268
United States,Female,30-49 years,3107,1390
United States,Female,35-44 years,1383,611
United States,Female,45-54 years,3588,1674
United States,Female,50-64 years,11776,5798
United States,Female,55-64 years,9544,4743
United States,Female,65-74 years,17798,8591
United States,Female,75-84 years,25289,11451
United States,Female,85 years and over,39049,14500
United States,Unknown,All Ages,6,4
United States,Unknown,Under 1 year,0,0
United States,Unknown,0-17 years,0,0
United States,Unknown,1-4 years,0,0
United States,Unknown,5-14 years,0,0
United States,Unknown,15-24 years,0,0
United States,Unknown,18-29 years,0,0
United States,Unknown,25-34 years,0,0
United States,Unknown,30-49 years,0,0
United States,Unknown,35-44 years,0,0
United States,Unknown,45-54 years,2,1
United States,Unknown,50-64 years,2,1
United States,Unknown,55-64 years,0,0
United States,Unknown,65-74 years,1,1
United States,Unknown,75-84 years,1,1
United States,Unknown,85 years and over,2,1
Alabama,All Sexes,All Ages,3770,1236
Alabama,Male,All Ages,1925,645
Alabama,Male,Under 1 year,0,0
Alabama,Male,0-17 years,0,0
Alabama,Male,1-4 years,0,0
Alabama,Male,5-14 years,0,0
Alabama,Male,15-24 years,0,0
Alabama,Male,18-29 years,11,0
Alabama,Male,25-34 years,18,0
Alabama,Male,30-49 years,106,37
Alabama,Male,35-44 years,48,20
Alabama,Male,45-54 years,127,33
Alabama,Male,50-64 years,362,108
Alabama,Male,55-64 years,283,87
Alabama,Male,65-74 years,532,184
Alabama,Male,75-84 years,551,192
Alabama,Male,85 years and over,362,122
Alabama,Female,All Ages,1845,591
Alabama,Female,Under 1 year,0,0
Alabama,Female,0-17 years,0,0
Alabama,Female,1-4 years,0,0
Alabama,Female,5-14 years,0,0
Alabama,Female,15-24 years,0,0
Alabama,Female,18-29 years,0,0
Alabama,Female,25-34 years,11,0
Alabama,Female,30-49 years,76,21
Alabama,Female,35-44 years,32,0
Alabama,Female,45-54 years,100,25
