End Week,Start Week,State,COVID-19 Deaths,Pneumonia and COVID-19 Deaths
2020-02-01,2020-01-25,United States,0,0
2020-02-08,2020-02-01,United States,1,0
2020-02-15,2020-02-08,United States,0,0
2020-02-22,2020-02-15,United States,5,1
2020-02-29,2020-02-22,United States,10,5
2020-03-07,2020-02-29,United States,35,17
2020-03-14,2020-03-07,United States,56,28
2020-03-21,2020-03-14,United States,572,250
2020-03-28,2020-03-21,United States,3168,1433
2020-04-04,2020-03-28,United States,10036,4762
2020-04-11,2020-04-04,United States,16195,7229
2020-04-18,2020-04-11,United States,17083,7308
2020-04-25,2020-04-18,United States,15446,6602
2020-05-02,2020-04-25,United States,13156,5516
2020-05-09,2020-05-02,United States,11177,4707
2020-05-16,2020-05-09,United States,9174,3776
2020-05-23,2020-05-16,United States,7185,2968
2020-05-30,2020-05-23,United States,6121,2482
2020-06-06,2020-05-30,United States,4999,2139
2020-06-13,2020-06-06,United States,4203,1857
2020-06-20,2020-06-13,United States,3811,1599
2020-06-27,2020-06-20,United States,3792,1548
2020-07-04,2020-06-27,United States,4482,1988
2020-07-11,2020-07-04,United States,5722,2700
2020-07-18,2020-07-11,United States,7098,3425
2020-07-25,2020-07-18,United States,8107,3929
2020-08-01,2020-07-25,United States,8191,4025
2020-08-08,2020-08-01,United States,7747,3939
2020-08-15,2020-08-08,United States,7100,3624
2020-08-22,2020-08-15,United States,6191,3138
2020-08-29,2020-08-22,United States,5473,2777
2020-09-05,2020-08-29,United States,4697,2368
2020-09-12,2020-09-05,United States,4265,2146
2020-09-19,2020-09-12,United States,3844,1853
2020-09-26,2020-09-19,United States,3825,1891
2020-10-03,2020-09-26,United States,3611,1715
2020-10-10,2020-10-03,United States,3915,1926
2020-10-17,2020-10-10,United States,3543,1702
2020-10-24,2020-10-17,United States,2152,957
2020-10-31,2020-10-24,United States,271,142
2020-02-01,2020-01-25,Alabama,0,0
2020-02-08,2020-02-01,Alabama,0,0
2020-02-15,2020-02-08,Alabama,0,0
2020-02-22,2020-02-15,Alabama,0,0
2020-02-29,2020-02-22,Alabama,0,0
2020-03-07,2020-02-29,Alabama,0,0
2020-03-14,2020-03-07,Alabama,0,0
2020-03-21,2020-03-14,Alabama,0,0
2020-03-28,2020-03-21,Alabama,23,0
2020-04-04,2020-03-28,Alabama,49,11
2020-04-11,2020-04-04,Alabama,81,27
2020-04-18,2020-04-11,Alabama,89,26
2020-04-25,2020-04-18,Alabama,83,19
