Date as of,First week,Last week,State,County name,FIPS County Code,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes
10/28/2020,02/01/2020,10/24/2020,AK,Anchorage Borough,2020,Medium metro,38,1499
10/28/2020,02/01/2020,10/24/2020,AK,Fairbanks North Star Borough,2090,Small metro,14,351
10/28/2020,02/01/2020,10/24/2020,AL,Autauga County,1001,Medium metro,27,381
10/28/2020,02/01/2020,10/24/2020,AL,Baldwin County,1003,Small metro,80,1619
10/28/2020,02/01/2020,10/24/2020,AL,Barbour County,1005,Noncore,12,198
10/28/2020,02/01/2020,10/24/2020,AL,Bibb County,1007,Large fringe metro,17,136
10/28/2020,02/01/2020,10/24/2020,AL,Blount County,1009,Large fringe metro,12,368
10/28/2020,02/01/2020,10/24/2020,AL,Butler County,1013,Noncore,27,166
10/28/2020,02/01/2020,10/24/2020,AL,Calhoun County,1015,Small metro,99,1183
10/28/2020,02/01/2020,10/24/2020,AL,Chambers County,1017,Micropolitan,10,281
10/28/2020,02/01/2020,10/24/2020,AL,Cherokee County,1019,Noncore,10,223
10/28/2020,02/01/2020,10/24/2020,AL,Chilton County,1021,Large fringe metro,18,300
10/28/2020,02/01/2020,10/24/2020,AL,Clay County,1027,Noncore,27,147
10/28/2020,02/01/2020,10/24/2020,AL,Coffee County,1031,Micropolitan,10,379
10/28/2020,02/01/2020,10/24/2020,AL,Colbert County,1033,Small metro,40,474
10/28/2020,02/01/2020,10/24/2020,AL,Covington County,1039,Noncore,55,422
10/28/2020,02/01/2020,10/24/2020,AL,Crenshaw County,1041,Noncore,26,151
10/28/2020,02/01/2020,10/24/2020,AL,Cullman County,1043,Micropolitan,33,758
10/28/2020,02/01/2020,10/24/2020,AL,Dale County,1045,Micropolitan,53,362
10/28/2020,02/01/2020,10/24/2020,AL,Dallas County,1047,Micropolitan,45,360
10/28/2020,02/01/2020,10/24/2020,AL,DeKalb County,1049,Noncore,21,513
10/28/2020,02/01/2020,10/24/2020,AL,Elmore County,1051,Medium metro,35,517
10/28/2020,02/01/2020,10/24/2020,AL,Escambia County,1053,Noncore,20,283
10/28/2020,02/01/2020,10/24/2020,AL,Etowah County,1055,Small metro,139,1252
10/28/2020,02/01/2020,10/24/2020,AL,Franklin County,1059,Noncore,13,224
10/28/2020,02/01/2020,10/24/2020,AL,Houston County,1069,Small metro,249,1541
10/28/2020,02/01/2020,10/24/2020,AL,Jackson County,1071,Micropolitan,18,469
10/28/2020,02/01/2020,10/24/2020,AL,Jefferson County,1073,Large central metro,643,7494
10/28/2020,02/01/2020,10/24/2020,AL,Lauderdale County,1077,Small metro,76,1081
10/28/2020,02/01/2020,10/24/2020,AL,Lee County,1081,Small metro,150,999
10/28/2020,02/01/2020,10/24/2020,AL,Limestone County,1083,Medium metro,36,607
10/28/2020,02/01/2020,10/24/2020,AL,Madison County,1089,Medium metro,157,3124
10/28/2020,02/01/2020,10/24/2020,AL,Marengo County,1091,Noncore,16,183
10/28/2020,02/01/2020,10/24/2020,AL,Marion County,1093,Noncore,25,296
10/28/2020,02/01/2020,10/24/2020,AL,Marshall County,1095,Micropolitan,52,889
10/28/2020,02/01/2020,10/24/2020,AL,Mobile County,1097,Medium metro,435,4063
10/28/2020,02/01/2020,10/24/2020,AL,Montgomery County,1101,Medium metro,353,2422
10/28/2020,02/01/2020,10/24/2020,AL,Morgan County,1103,Small metro,55,1009
10/28/2020,02/01/2020,10/24/2020,AL,Pike County,1109,Micropolitan,16,222
10/28/2020,02/01/2020,10/24/2020,AL,Russell County,1113,Medium metro,11,290
